PlayerName,Position,MarketValue,PPS,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G,S1 GP,S2 GP,S3 GP,S4 GP,S5 GP,S6 GP,S7 GP,S8 GP,S9 GP,S10 GP,S11 GP,S12 GP
Jaden Ivey,"G,Flx",1.0,27.838403333333336,0.0,44.54,41.35,48.23,,,,,,,,,0.0,74.0,77.0,30.0,,,,,,,,
Bennedict Mathurin,"G,F,Flx",1.0,27.68030833333333,0.0,36.32,36.19,41.62,,,,,,,,,0.0,78.0,59.0,72.0,,,,,,,,
Isaiah Stewart,"C,Flx",1.0,27.22130333333333,37.86,41.54,39.07,31.15,,,,,,,,,71.0,50.0,46.0,72.0,,,,,,,,
Precious Achiuwa,"F,C,Flx",1.0,27.07542833333333,32.15,32.22,34.74,29.93,,,,,,,,,73.0,55.0,74.0,57.0,,,,,,,,
Mason Plumlee,"C,Flx",1.0,27.05946666666667,40.93,50.18,24.09,28.93,,,,,,,,,73.0,79.0,46.0,74.0,,,,,,,,
Shaedon Sharpe,"G,F,Flx",1.0,26.446933333333334,0.0,26.66,42.84,45.76,,,,,,,,,0.0,80.0,32.0,72.0,,,,,,,,
Jalen Smith,"C,Flx",1.0,26.436180000000004,32.25,32.94,35.64,31.23,,,,,,,,,51.0,68.0,61.0,64.0,,,,,,,,
Chris Boucher,"F,Flx",,25.850880000000004,35.39,34.13,23.18,32.44,,,,,,,,,80.0,76.0,50.0,50.0,,,,,,,,
Jeremy Sochan,"F,Flx",1.0,25.232226666666662,0.0,34.84,42.15,41.72,,,,,,,,,0.0,56.0,74.0,54.0,,,,,,,,
Malcolm Brogdon,"G,Flx",6.0,23.004003333333337,57.47,46.39,50.03,37.58,,,,,,,,,36.0,67.0,39.0,24.0,,,,,,,,
Marcus Smart,"G,Flx",1.0,22.34046,48.83,47.26,44.55,31.03,,,,,,,,,71.0,61.0,20.0,34.0,,,,,,,,
Mitchell Robinson,"C,Flx",4.0,22.114555000000003,47.69,49.17,40.03,34.06,,,,,,,,,72.0,59.0,31.0,17.0,,,,,,,,
Brandon Clarke,"F,Flx",1.0,22.045383333333334,39.3,36.12,38.83,33.06,,,,,,,,,64.0,56.0,6.0,64.0,,,,,,,,
