ID,Player,Team,Position,RkOv,Status,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*05wkd*,Jeff Dowtin,PHI,"G,Flx",328,FA,934,22.78,41,118,28,12,285,12,60,78,24,12,15,0,0,0,0
*05qst*,Paul Reed,DET,"C,Flx",329,FA,930,20.67,45,70,8,10,184,40,123,44,39,25,26,2,0,0,0
*06mlq*,Pelle Larsson,MIA,"G,F,Flx",330,FA,929,16.89,55,114,32,20,251,28,92,65,32,7,24,0,0,0,0
*06ccz*,Mouhamed Gueye,ATL,"F,Flx",331,FA,924,28,33,99,21,10,197,44,139,27,28,33,15,1,0,0,2
*042nw*,Malcolm Brogdon,WAS,"G,Flx",332,FA,902,37.58,24,136,16,11,305,21,91,98,13,5,38,0,0,0,2
*005kf*,Eric Gordon,PHI,"G,F,Flx",333,FA,897,23,39,117,56,12,266,8,46,65,26,12,28,0,0,0,0
*04hoo*,Daniel Theis,(N/A),"C,Flx",334,FA,897,23.61,38,68,9,6,162,44,164,60,18,20,25,1,0,0,1
*06mjv*,Reed Sheppard,HOU,"G,Flx",335,FA,890,17.12,52,155,48,3,229,16,78,75,35,17,37,0,0,0,0
*04qsi*,Jarred Vanderbilt,LAL,"F,Flx",336,FA,886,24.61,36,62,9,16,147,68,182,41,35,10,29,5,1,0,0
*06ccy*,Jalen Pickett,DEN,"G,Flx",337,FA,880,17.96,49,103,40,2,200,15,71,107,19,5,24,0,0,1,1
*06mk8*,Jared McCain,PHI,"G,Flx",339,FA,879,38.22,23,148,51,7,352,13,56,60,15,0,37,0,0,0,1
*06hfc*,Tosan Evbuomwan,BKN,"F,Flx",338,FA,879,31.39,28,126,24,18,267,32,120,55,24,10,39,0,0,0,0
*05y9y*,Brandon Williams,DAL,"G,Flx",340,FA,873,26.45,33,90,24,11,275,12,58,76,24,5,39,0,0,0,0
*0621o*,Blake Wesley,POR,"G,Flx",341,FA,871,15.02,58,105,17,23,217,17,61,114,37,6,54,0,0,0,0
*05uit*,Kai Jones,DAL,"C,Flx",342,FA,861,21.52,40,22,1,9,198,40,125,25,15,23,18,0,0,0,1
*05293*,John Konchar,MEM,"G,Flx",343,FA,861,18.72,46,50,23,1,112,37,151,42,30,14,16,0,0,0,0
*0621v*,Caleb Houstan,ORL,"F,Flx",344,FA,852,14.69,58,110,64,2,239,19,75,35,22,6,13,0,0,0,0
*0623e*,Collin Gillespie,PHO,"G,Flx",345,FA,850,25.76,33,90,39,3,194,22,78,78,21,5,17,0,0,0,1
*03r7l*,Larry Nance,CLE,"F,C,Flx",346,FA,849,35.38,24,75,34,4,203,23,103,38,20,13,16,0,0,0,3
*03e7f*,Vasilije Micic,MIL,"G,F,Flx",348,FA,832,20.29,41,178,45,7,269,20,89,128,15,0,77,0,0,0,1
*0015b*,Kyle Lowry,PHI,"G,Flx",347,FA,832,23.77,35,76,29,6,138,11,67,96,33,11,21,1,0,0,0
*06mlt*,Antonio Reeves,CHA,"G,F,Flx",349,FA,829,18.84,44,135,51,7,305,18,63,39,21,4,30,0,0,0,0
*05uj9*,Herbert Jones,NO,"F,Flx",350,FA,824,41.2,20,97,22,7,205,22,78,65,37,9,35,2,0,0,0
*04qs3*,Landry Shamet,NY,"G,Flx",351,FA,820,16.4,50,124,62,6,286,11,61,27,23,2,22,0,0,0,0
*05qve*,JaeSean Tate,HOU,"F,Flx",352,FA,818,15.73,52,78,16,15,188,50,117,47,26,7,22,0,0,0,0
*051po*,Bol Bol,PHO,"F,C,Flx",353,FA,816,22.67,36,87,32,6,244,20,104,22,9,25,20,0,0,0,1
*05quh*,Zeke Nnaji,DEN,"F,C,Flx",355,FA,816,14.32,57,71,17,17,184,33,90,23,25,38,14,0,0,0,0
*03r7v*,Pat Connaughton,CHA,"G,F,Flx",354,FA,816,19.9,41,94,26,7,216,19,109,70,9,11,24,0,0,0,1
*05uji*,Kessler Edwards,DAL,"F,Flx",356,FA,809,20.23,40,68,22,1,168,22,115,42,19,20,16,0,0,0,1
*06mlk*,Ajay Mitchell,OKC,"G,F,Flx",357,FA,803,22.31,36,93,23,6,234,18,68,64,25,4,29,0,0,0,1
*05wqp*,Micah Potter,UTA,"F,C,Flx",359,FA,800,21.05,38,78,31,3,162,43,164,31,14,14,31,0,0,0,0
*027pf*,Cory Joseph,ORL,"G,Flx",358,FA,800,16,50,92,39,4,177,17,74,72,26,4,18,0,0,0,0
*05ux3*,Jordan Goodwin,PHO,"G,Flx",360,FA,796,27.45,29,81,26,2,161,38,112,42,30,11,26,0,0,0,0
*05uuq*,Jock Landale,MEM,"C,Flx",361,FA,787,18.74,42,71,11,13,200,56,137,37,13,10,21,2,0,0,1
*04exe*,Monte Morris,PHO,"G,Flx",362,FA,784,17.42,45,112,31,6,233,12,67,73,20,3,21,0,0,0,0
*03e79*,Dwight Powell,DAL,"C,Flx",363,FA,779,14.16,55,19,2,15,114,47,118,55,18,21,18,1,0,0,0
*027oq*,Bismack Biyombo,SA,"C,Flx",364,FA,777,27.75,28,47,0,15,144,43,158,31,16,23,27,0,0,0,3
*05ujr*,Charles Bassey,SA,"C,Flx",365,FA,775,21.53,36,49,0,12,157,56,152,17,14,30,23,1,0,0,2
*05ujw*,Jericho Sims,MIL,"C,Flx",366,FA,773,14.58,53,26,0,5,98,71,197,33,10,19,33,0,0,0,0
*06cc9*,Olivier-Maxence Prosper,DAL,"F,Flx",367,FA,771,14.83,52,104,12,27,201,44,126,40,26,6,14,0,0,0,0
*03e6m*,Elfrid Payton,NO,"G,Flx",368,FA,755,31.46,24,82,1,3,85,15,79,166,24,11,59,0,0,0,2
*06mk2*,Cody Williams,UTA,"G,Flx",369,FA,750,15,50,174,35,11,230,27,113,59,23,16,44,0,0,0,0
*06cp4*,Craig Porter,CLE,"G,Flx",370,FA,746,14.63,51,68,21,9,188,19,67,71,17,15,38,0,0,0,0
*03r7h*,Delon Wright,NY,"G,Flx",371,FA,732,18.3,40,86,20,10,125,27,66,77,35,12,22,0,0,0,0
*065b8*,Keaton Wallace,ATL,"G,Flx",372,FA,715,23.06,31,97,27,0,168,7,50,81,28,9,33,0,0,1,1
*049kf*,Mo Bamba,(N/A),"C,Flx",373,FA,707,22.09,32,60,15,8,138,32,145,18,9,31,20,0,0,0,0
