"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03aq2*","Jerami Grant","POR","F,Flx","Tribunal","Reserve","","810","42.63","94%","-0.8%","8.2","2.2","0.8","15.9","0.4","3.5","2.4","0.9","1.0","1.4","0.00","0.00","0.0","0"
"*04qrm*","Collin Sexton","UTA","G,Flx","DBD","Active","","807","40.35","94%","+0.4%","6.4","1.8","0.5","16.9","0.7","2.5","3.1","0.7","0.1","2.4","0.05","0.00","0.0","0"
"*06mkd*","Yves Missi","NO","C,Flx","420","Reserve","@ATL Mon 7:30PM","807","40.35","65%","+4.6%","2.8","0.0","1.0","8.3","3.4","7.5","1.4","0.7","1.3","1.1","0.00","0.00","0.0","4"
"*0527h*","Naz Reid","MIN","F,C,Flx","J&J","Reserve","LAL Mon 8:00PM","791","41.63","95%","-1.3%","5.2","1.9","0.2","13.4","0.7","5.2","1.5","0.7","0.6","1.3","0.00","0.00","0.0","1"
"*05qub*","Isaiah Stewart","DET","C,Flx","DBD","Reserve","","791","35.95","58%","+1.2%","2.0","0.2","0.2","6.3","2.5","6.4","1.9","0.5","1.5","1.1","0.09","0.05","0.0","2"
"*06cby*","Keyonte George","UTA","G,Flx","Fent","Reserve","","790","41.58","93%","+0.2%","8.6","2.6","0.6","15.4","0.5","3.0","5.7","0.7","0.1","3.3","0.00","0.00","0.0","1"
"*01eo9*","Jrue Holiday","BOS","G,Flx","Tribunal","Active","MIA Mon 7:30PM","787","41.42","95%","-0.7%","5.2","1.7","0.2","11.7","1.1","4.2","3.9","0.8","0.3","1.6","0.00","0.00","0.0","0"
"*051oy*","Goga Bitadze","ORL","C,Flx","Sar","Reserve","","784","43.56","52%","-5.1%","1.7","0.0","0.4","8.2","2.6","7.1","1.8","0.8","1.7","1.4","0.11","0.00","0.0","6"
"*051pg*","Cody Martin","CHA","F,Flx","Fent","Active","","766","38.3","37%","+3.7%","4.0","1.3","0.6","8.6","1.2","4.8","2.4","1.1","0.8","0.8","0.00","0.00","0.0","0"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","Fent","Active","NO Mon 7:30PM","764","40.21","88%","-1.7%","3.7","0.4","0.5","11.0","2.4","6.7","1.7","0.6","0.7","0.9","0.05","0.00","0.0","4"
"*04qs1*","Anfernee Simons","POR","G,Flx","15","Active","","763","42.39","97%","0%","8.7","2.6","0.3","17.3","0.2","2.6","4.3","0.9","0.1","2.5","0.06","0.00","0.0","0"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","Sar","Active","","756","63","100%","0%","12.9","3.3","0.8","25.9","0.2","3.2","4.5","2.0","0.3","1.8","0.00","0.00","0.0","1"
