"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*06mkl*","Isaiah Collier","UTA","G,Flx","EE","Active","@LAL Mon 10:30PM","994","36.81","65%","+3.7%","4.5","0.6","0.3","8.1","0.6","3.7","7.0","0.7","0.3","2.9","0.00","0.00","0.0","5"
"*05uiz*","Quentin Grimes","PHI","G,F,Flx","15","Reserve","","990","38.08","46%","+4.2%","5.2","2.0","0.3","11.9","0.7","4.1","2.8","0.6","0.3","1.3","0.00","0.00","0.0","0"
"*0621y*","Max Christie","DAL","G,F,Flx","TRUMP","Active","SAC Mon 8:30PM","985","37.88","56%","+16.8%","4.4","2.1","0.4","12.0","0.6","3.5","1.8","0.7","0.5","1.0","0.00","0.00","0.0","0"
"*04qry*","Grayson Allen","PHO","G,F,Flx","MylS","Active","","977","42.48","64%","-1.4%","4.1","2.8","0.2","11.1","0.7","3.9","2.1","1.1","0.3","0.9","0.00","0.00","0.0","0"
"*06ccf*","Ausar Thompson","DET","F,Flx","BabyOil","Active","","970","38.8","85%","+2.3%","3.2","0.2","1.0","9.6","1.8","5.6","1.8","1.9","0.4","1.3","0.08","0.00","0.0","1"
"*04qrl*","Wendell Carter","ORL","F,C,Flx","Sar","Reserve","ATL Mon 7:00PM","967","35.81","78%","-2.3%","4.4","0.5","0.9","9.5","1.9","6.7","2.3","0.8","0.4","1.0","0.11","0.04","0.0","5"
"*0623a*","Scotty Pippen","MEM","G,Flx","DBD","Reserve","","960","35.56","58%","-2.7%","3.5","1.0","0.8","8.5","1.0","3.1","3.6","1.3","0.4","1.6","0.00","0.00","0.0","0"
"*051ok*","De'Andre Hunter","CLE","F,Flx","EE","Inj Res","MIN Mon 7:00PM","958","43.55","78%","-0.5%","7.3","2.5","0.8","18.5","0.8","4.0","1.8","0.9","0.1","1.9","0.14","0.00","0.0","1"
"*051op*","Rui Hachimura","LAL","F,Flx","BabyOil","Reserve","UTA Mon 10:30PM","956","39.83","77%","+3.1%","4.8","1.6","0.5","13.4","1.2","5.0","1.3","0.7","0.4","1.1","0.00","0.00","0.0","0"
"*06cby*","Keyonte George","UTA","G,Flx","Fent","Active","@LAL Mon 10:30PM","955","50.26","94%","+0.2%","8.2","2.5","0.9","17.3","0.3","4.0","5.8","0.7","0.3","2.3","0.11","0.00","0.0","2"
"*04ex8*","Dillon Brooks","HOU","G,F,Flx","420","Active","","947","37.88","63%","0%","7.5","2.6","0.3","14.6","1.2","4.0","1.5","0.9","0.2","1.0","0.08","0.00","0.0","0"
"*06mju*","Alex Sarr","WAS","F,C,Flx","TRUMP","Inj Res","SA Mon 7:00PM","940","44.76","94%","-0.2%","6.7","1.7","0.8","12.3","1.6","7.0","2.4","0.6","1.3","1.4","0.00","0.00","0.0","4"
"*051p4*","Ty Jerome","CLE","G,Flx","ROMO","Active","MIN Mon 7:00PM","935","37.4","57%","-0.4%","4.4","1.5","0.2","11.3","0.8","2.8","3.3","1.1","0.0","1.2","0.04","0.00","0.0","0"
"*051oi*","Ja Morant","MEM","G,Flx","Tribunal","Active","","929","54.65","99%","0%","8.8","1.8","1.2","19.5","0.7","4.1","6.6","1.5","0.4","3.9","0.18","0.00","0.0","4"
"*06215*","Bennedict Mathurin","IND","G,F,Flx","420","Active","","899","37.46","88%","-0.2%","6.3","1.4","0.7","14.9","1.3","5.1","1.9","0.5","0.4","1.7","0.13","0.04","0.0","2"
"*01eo9*","Jrue Holiday","BOS","G,Flx","Tribunal","Inj Res","@MIA Mon 7:30PM","888","40.36","92%","-1.2%","4.5","1.6","0.1","9.4","1.0","4.4","3.3","1.2","0.5","1.2","0.00","0.00","0.0","0"
"*05qtm*","Precious Achiuwa","NY","F,C,Flx","15","Active","","887","32.85","43%","+8.6%","2.3","0.3","0.4","6.7","2.1","5.7","1.0","1.0","0.7","0.8","0.00","0.00","0.0","2"
"*03ad4*","D'Angelo Russell","BKN","G,Flx","Tribunal","Reserve","CHA Mon 7:30PM","879","43.95","96%","-0.1%","6.8","1.9","0.4","13.1","0.3","3.0","5.2","1.1","0.7","1.9","0.05","0.00","0.0","2"
