Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),,,,,
*05uig*,96,G,Josh Giddey,OKC,3,2024 MVP Ding Yanyuhang,10/8/2022 5:42,,,,,
*04qrj*,97,C,Jaren Jackson,MEM,1,SpeckledGnu,10/8/2022 5:43,,,,,
*04qsi*,98,F,Jarred Vanderbilt,UTA/LAL,2,I Got You Kobe,10/8/2022 5:45,,,,,
*04qrr*,99,F,Michael Porter,DEN,1,ManchuWok,10/8/2022 5:45,,,,,
*06212*,100,F,Jabari Smith,HOU,1,LeBronto,10/8/2022 5:46,,,,,
*04qsd*,101,C,Mitchell Robinson,NY,1,Pizza Time 🍕,10/8/2022 5:46,,,,,
*05uii*,102,F,Franz Wagner,ORL,1,I Got You Kobe,10/8/2022 5:47,,,,,
*04qrn*,103,F,Mikal Bridges,PHO/BKN,2,Tiger Blood,10/8/2022 5:48,,,,,
*02ym0*,104,F,Andrew Wiggins,GS,2,Gianni’s Secret Move,10/8/2022 5:48,,,,,
*051os*,105,F,P.J. Washington,CHA,2,Gianni’s Secret Move,10/8/2022 5:49,,,,,
*06213*,106,F,Keegan Murray,SAC,6,2024 MVP Ding Yanyuhang,10/8/2022 5:49,,,,,
*03e6n*,107,C,Jusuf Nurkic,POR,2,ManchuWok,10/8/2022 5:50,,,,,
*04qse*,108,G,Gary Trent,TOR,2,Tiger Blood,10/8/2022 5:51,,,,,
*051ot*,109,G,Tyler Herro,MIA,1,ManchuWok,10/8/2022 5:51,,,,,
*05uic*,110,G,Jalen Green,HOU,2,ManchuWok,10/8/2022 5:52,,,,,
*0496e*,111,G,Alex Caruso,CHI,1,Pizza Time 🍕,10/8/2022 5:52,,,,,
*05qtq*,112,G,Tre Jones,SA,1,I Got You Kobe,10/8/2022 5:53,,,,,
*06214*,113,G,Jaden Ivey,DET,1,Team IAMCANADA,10/8/2022 5:54,,,,,
*051p1*,114,F,Brandon Clarke,MEM,1,Tiger Blood,10/8/2022 5:54,,,,,
*03aq2*,115,F,Jerami Grant,POR,1,Zenkevafuck,10/8/2022 5:54,,,,,
*03e6s*,116,C,Clint Capela,ATL,1,SpeckledGnu,10/8/2022 5:55,,,,,
*03r7z*,117,G,Norman Powell,LAC,1,Gianni’s Secret Move,10/8/2022 5:55,,,,,
*042nw*,118,G,Malcolm Brogdon,BOS,6,ManchuWok,10/8/2022 5:55,,,,,
*03al1*,119,G,Marcus Smart,BOS,1,LeBronto,10/8/2022 5:56,,,,,
