"ID","Player","Team","Position","RkOv","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*04jwd*","Royce O'Neale","PHO","G,F,Flx","109","TRH","Reserve","@HOU Wed 8:00PM","2334","39.56","47%","-2.8%","4.4","2.5","0.1","9.5","0.8","4.8","2.1","1.0","0.5","0.9","0.03","0.00","0.0","0"
"*051oy*","Goga Bitadze","ORL","C,Flx","110","Fent","Active","","2322","42.22","45%","-6.4%","2.0","0.1","0.7","7.9","2.5","7.2","2.0","0.7","1.6","1.2","0.11","0.02","0.0","14"
"*04ewk*","John Collins","UTA","F,C,Flx","111","TRUMP","Active","@MEM Wed 8:00PM","2271","58.23","97%","-0.4%","6.3","1.5","0.6","18.9","2.2","8.2","2.1","1.0","1.0","2.6","0.05","0.00","0.0","13"
"*02nf7*","Harrison Barnes","SA","F,Flx","112","DBD","Reserve","DAL Wed 8:00PM","2269","36.02","46%","-2%","4.0","1.7","0.5","11.7","1.4","3.9","1.7","0.3","0.2","0.6","0.00","0.00","0.0","1"
"*02nf3*","Bradley Beal","PHO","G,F,Flx","113","Tribunal","Reserve","@HOU Wed 8:00PM","2254","50.09","96%","-0.2%","6.6","2.0","0.5","17.5","0.7","3.5","3.8","1.0","0.6","2.0","0.02","0.00","0.0","1"
"*0527l*","Luguentz Dort","OKC","G,F,Flx","114","ROMO","Active","@BOS Wed 7:30PM","2252","37.53","57%","-2.3%","4.8","2.3","0.1","9.9","1.4","4.2","1.6","1.1","0.6","0.7","0.08","0.03","0.0","0"
"*06mjw*","Stephon Castle","SA","G,Flx","116","PRO","Active","DAL Wed 8:00PM","2242","36.16","86%","-0.1%","6.6","1.1","1.1","13.5","1.0","3.2","3.5","0.9","0.2","1.9","0.00","0.00","0.0","1"
"*03e6s*","Clint Capela","ATL","C,Flx","117","ROMO","Reserve","CHA Wed 7:30PM","2226","40.47","80%","-2.5%","3.1","0.0","0.8","8.9","3.2","8.5","1.1","0.6","1.0","0.9","0.00","0.00","0.0","11"
"*027pe*","Jimmy Butler","GS","F,Flx","118","420","Active","","2224","58.53","98%","-0.1%","5.3","0.5","1.2","17.2","2.3","5.4","5.1","1.2","0.3","1.3","0.00","0.00","0.1","3"
"*06mk6*","Carlton Carrington","WAS","G,Flx","119","DBD","Active","","2223","34.73","67%","-2.7%","5.1","1.6","0.2","9.2","0.4","4.0","4.0","0.7","0.2","1.6","0.05","0.00","0.0","3"
"*04qrm*","Collin Sexton","UTA","G,Flx","120","DBD","Reserve","@MEM Wed 8:00PM","2222","44.44","92%","-1.3%","7.2","1.8","0.4","18.1","1.0","2.8","4.2","0.7","0.1","2.6","0.06","0.00","0.0","2"
"*04azw*","Lauri Markkanen","UTA","F,Flx","121","MylS","Inj Res","@MEM Wed 8:00PM","2202","51.21","97%","-0.9%","8.6","2.9","0.5","19.3","1.7","6.1","1.6","0.8","0.4","1.4","0.00","0.00","0.0","5"
